,station_complex_id,location,Latitude,Longitude,Nearest_Stop,borough,routes,ridership,Connections
253,N604,"(40.70256, -73.81686)",40.70256,-73.81686,"(280, 'Jamaica-Van Wyck')",Q,E,914601,"[(279, 'Sutphin Blvd-Archer Av-JFK Airport')]"
254,N605,"(40.70049, -73.80797)",40.70049,-73.80797,"(279, 'Sutphin Blvd-Archer Av-JFK Airport')",Q,"J,E,Z",4908463,"[(278, 'Jamaica Center-Parsons/Archer'), (280, 'Jamaica-Van Wyck')]"
255,N606,"(40.70215, -73.80111)",40.70215,-73.80111,"(278, 'Jamaica Center-Parsons/Archer')",Q,"J,E,Z",5480066,"[(277, '7 Av'), (279, 'Sutphin Blvd-Archer Av-JFK Airport')]"
256,N700,"(40.7688, -73.95843)",40.7688,-73.95843,"(477, '72 St')",M,Q,5972601,"[(476, '86 St')]"
257,N701,"(40.77789, -73.95179)",40.77789,-73.95179,"(476, '86 St')",M,Q,4981183,"[(475, '96 St'), (477, '72 St')]"
258,N702,"(40.78432, -73.94715)",40.78432,-73.94715,"(396, '96 St')",M,Q,3632699,"[(395, '103 St'), (397, '86 St')]"
259,R101,"(40.70309, -74.01299)",40.70309,-74.01299,"(635, 'Whitehall St-South Ferry')",M,"1,R,,W",5340535,"[(22, 'Rector St'), (620, 'Court St')]"
260,R103,"(40.70751, -74.01379)",40.70751,-74.01379,"(329, 'Rector St')",M,1,1469029,"[(328, 'WTC Cortlandt'), (635, 'South Ferry')]"
261,R106,"(40.71183, -74.01219)",40.71183,-74.01219,"(328, 'WTC Cortlandt')",M,1,2475877,"[(327, 'Chambers St'), (329, 'Rector St')]"
262,R111,"(40.70682, -74.0091)",40.70682,-74.0091,"(333, 'Wall St')",M,"3,2",3209247,"[(628, 'Fulton St'), (334, 'Clark St')]"
263,R116,"(40.71548, -74.00927)",40.71548,-74.00927,"(327, 'Chambers St')",M,"3,1,2",3362306,"[(326, 'Franklin St'), (328, 'WTC Cortlandt')]"
264,R117,"(40.71932, -74.00689)",40.71932,-74.00689,"(326, 'Franklin St')",M,1,1129085,"[(325, 'Canal St'), (327, 'Chambers St')]"
265,R119,"(40.72285, -74.00628)",40.72285,-74.00628,"(325, 'Canal St')",M,1,1020171,"[(324, 'Houston St'), (326, 'Franklin St')]"
266,R123,"(40.72825, -74.00536)",40.72825,-74.00536,"(324, 'Houston St')",M,1,2445172,"[(323, 'Christopher St-Sheridan Sq'), (325, 'Canal St')]"
267,R125,"(40.73342, -74.00291)",40.73342,-74.00291,"(323, 'Christopher St-Sheridan Sq')",M,1,2494812,"[(601, '14 St'), (324, 'Houston St')]"
268,R129,"(40.74104, -73.99787)",40.74104,-73.99787,"(321, '18 St')",M,1,1535750,"[(320, '23 St'), (601, '14 St')]"
269,R131,"(40.74408, -73.99566)",40.74408,-73.99566,"(320, '23 St')",M,1,2794035,"[(319, '28 St'), (321, '18 St')]"
270,R133,"(40.74722, -73.99336)",40.74722,-73.99336,"(319, '28 St')",M,1,2632254,"[(318, '34 St-Penn Station'), (320, '23 St')]"
271,R135,"(40.75037, -73.99106)",40.75037,-73.99106,"(318, '34 St-Penn Station')",M,"3,1,2",13891761,"[(611, 'Times Sq-42 St'), (319, '28 St')]"
272,R154,"(40.76173, -73.98385)",40.76173,-73.98385,"(316, '50 St')",M,1,5079777,"[(614, '59 St-Columbus Circle'), (611, 'Times Sq-42 St')]"
273,R160,"(40.77344, -73.98221)",40.77344,-73.98221,"(314, '66 St-Lincoln Center')",M,1,4120561,"[(313, '72 St'), (614, '59 St-Columbus Circle')]"
274,R161B,"(40.77845, -73.98197)",40.77845,-73.98197,"(313, '72 St')",M,"3,1,2",7948655,"[(312, '79 St'), (314, '66 St-Lincoln Center')]"
275,R162,"(40.78394, -73.97992)",40.78394,-73.97992,"(312, '79 St')",M,1,3233729,"[(311, '86 St'), (313, '72 St')]"
