,Daytime_Routes,Complex_ID,Complex_ID_Next,GTFS_Latitude_Next,GTFS_Longitude_Next,GTFS_Latitude,GTFS_Longitude,Stop_Name,Stop_Name_Next
167,C,627,177,40.683263,-73.965838,40.68138,-73.956848,Franklin Av,Clinton-Washington Avs
168,A C,179,627,40.68138,-73.956848,40.680438,-73.950426,Nostrand Av,Franklin Av
169,C,180,179,40.680438,-73.950426,40.679921,-73.940858,Kingston-Throop Avs,Nostrand Av
170,A C,181,180,40.679921,-73.940858,40.679364,-73.930729,Utica Av,Kingston-Throop Avs
171,C,182,181,40.679364,-73.930729,40.678822,-73.920786,Ralph Av,Utica Av
172,C,183,182,40.678822,-73.920786,40.67834,-73.911946,Rockaway Av,Ralph Av
173,A C,621,183,40.67834,-73.911946,40.678334,-73.905316,Broadway Junction,Rockaway Av
174,C,185,621,40.678334,-73.905316,40.674542,-73.896548,Liberty Av,Broadway Junction
175,C,186,185,40.674542,-73.896548,40.67271,-73.890358,Van Siclen Av,Liberty Av
176,C,187,186,40.67271,-73.890358,40.67413,-73.88075,Shepherd Av,Van Siclen Av
177,A C,188,187,40.67413,-73.88075,40.675377,-73.872106,Euclid Av,Shepherd Av
178,A,189,188,40.675377,-73.872106,40.677044,-73.86505,Grant Av,Euclid Av
179,A,190,189,40.677044,-73.86505,40.679371,-73.858992,80 St,Grant Av
180,A,191,190,40.679371,-73.858992,40.679843,-73.85147,88 St,80 St
181,A,192,191,40.679843,-73.85147,40.680429,-73.843853,Rockaway Blvd,88 St
182,A,193,192,40.680429,-73.843853,40.681711,-73.837683,104 St,Rockaway Blvd
183,A,194,193,40.681711,-73.837683,40.684331,-73.832163,111 St,104 St
184,A,195,194,40.684331,-73.832163,40.685951,-73.825798,Ozone Park-Lefferts Blvd,111 St
185,A,196,195,40.685951,-73.825798,40.668234,-73.834058,Aqueduct Racetrack,Ozone Park-Lefferts Blvd
186,A,197,196,40.668234,-73.834058,40.668234,-73.834058,Aqueduct-N Conduit Av,Aqueduct Racetrack
187,A,198,197,40.668234,-73.834058,40.660476,-73.830301,Howard Beach-JFK Airport,Aqueduct-N Conduit Av
188,A S,199,198,40.660476,-73.830301,40.608382,-73.815925,Broad Channel,Howard Beach-JFK Airport
189,A S,200,199,40.608382,-73.815925,40.588034,-73.813641,Beach 90 St,Broad Channel
190,A S,201,200,40.588034,-73.813641,40.585307,-73.820558,Beach 98 St,Beach 90 St
