,station_complex_id,borough,routes,latitude,longitude,date,ridership
4126,R329,BX,"2,5",40.86546325683594,-73.86735534667969,2023-01-31,75250
4127,R330,BX,"2,5",40.87135696411133,-73.8671646118164,2022-02-28,41257
4128,R330,BX,"2,5",40.87135696411133,-73.8671646118164,2022-03-31,53958
4129,R330,BX,"2,5",40.87135696411133,-73.8671646118164,2022-04-30,47754
4130,R330,BX,"2,5",40.87135696411133,-73.8671646118164,2022-05-31,49322
4131,R330,BX,"2,5",40.87135696411133,-73.8671646118164,2022-06-30,47342
4132,R330,BX,"2,5",40.87135696411133,-73.8671646118164,2022-07-31,42580
4133,R330,BX,"2,5",40.87135696411133,-73.8671646118164,2022-08-31,43828
4134,R330,BX,"2,5",40.87135696411133,-73.8671646118164,2022-09-30,45875
4135,R330,BX,"2,5",40.87135696411133,-73.8671646118164,2022-10-31,47250
4136,R330,BX,"2,5",40.87135696411133,-73.8671646118164,2022-11-30,43512
4137,R330,BX,"2,5",40.87135696411133,-73.8671646118164,2022-12-31,44671
4138,R330,BX,"2,5",40.87135696411133,-73.8671646118164,2023-01-31,44800
4139,R331,BX,"2,5",40.87784957885742,-73.86625671386719,2022-02-28,86741
4140,R331,BX,"2,5",40.87784957885742,-73.86625671386719,2022-03-31,112450
4141,R331,BX,"2,5",40.87784957885742,-73.86625671386719,2022-04-30,101952
4142,R331,BX,"2,5",40.87784957885742,-73.86625671386719,2022-05-31,108932
4143,R331,BX,"2,5",40.87784957885742,-73.86625671386719,2022-06-30,100756
4144,R331,BX,"2,5",40.87784957885742,-73.86625671386719,2022-07-31,83127
4145,R331,BX,"2,5",40.87784957885742,-73.86625671386719,2022-08-31,85028
4146,R331,BX,"2,5",40.87784957885742,-73.86625671386719,2022-09-30,93349
4147,R331,BX,"2,5",40.87784957885742,-73.86625671386719,2022-10-31,97099
4148,R331,BX,"2,5",40.87784957885742,-73.86625671386719,2022-11-30,94745
4149,R331,BX,"2,5",40.87784957885742,-73.86625671386719,2022-12-31,92468
4150,R331,BX,"2,5",40.87784957885742,-73.86625671386719,2023-01-31,95021
4151,R332,BX,"2,5",40.88389587402344,-73.86263275146484,2022-02-28,39948
4152,R332,BX,"2,5",40.88389587402344,-73.86263275146484,2022-03-31,50724
4153,R332,BX,"2,5",40.88389587402344,-73.86263275146484,2022-04-30,46003
4154,R332,BX,"2,5",40.88389587402344,-73.86263275146484,2022-05-31,46564
4155,R332,BX,"2,5",40.88389587402344,-73.86263275146484,2022-06-30,45237
4156,R332,BX,"2,5",40.88389587402344,-73.86263275146484,2022-07-31,41315
4157,R332,BX,"2,5",40.88389587402344,-73.86263275146484,2022-08-31,42188
4158,R332,BX,"2,5",40.88389587402344,-73.86263275146484,2022-09-30,44701
4159,R332,BX,"2,5",40.88389587402344,-73.86263275146484,2022-10-31,45823
4160,R332,BX,"2,5",40.88389587402344,-73.86263275146484,2022-11-30,43773
4161,R332,BX,"2,5",40.88389587402344,-73.86263275146484,2022-12-31,41910
4162,R332,BX,"2,5",40.88389587402344,-73.86263275146484,2023-01-31,41422
4163,R333,BX,"2,5",40.88802337646485,-73.86034393310547,2022-02-28,48501
4164,R333,BX,"2,5",40.88802337646485,-73.86034393310547,2022-03-31,61009
4165,R333,BX,"2,5",40.88802337646485,-73.86034393310547,2022-04-30,55179
4166,R333,BX,"2,5",40.88802337646485,-73.86034393310547,2022-05-31,55131
4167,R333,BX,"2,5",40.88802337646485,-73.86034393310547,2022-06-30,52142
4168,R333,BX,"2,5",40.88802337646485,-73.86034393310547,2022-07-31,45960
4169,R333,BX,"2,5",40.88802337646485,-73.86034393310547,2022-08-31,45701
4170,R333,BX,"2,5",40.88802337646485,-73.86034393310547,2022-09-30,49407
4171,R333,BX,"2,5",40.88802337646485,-73.86034393310547,2022-10-31,53397
4172,R333,BX,"2,5",40.88802337646485,-73.86034393310547,2022-11-30,51794
4173,R333,BX,"2,5",40.88802337646485,-73.86034393310547,2022-12-31,50153
4174,R333,BX,"2,5",40.88802337646485,-73.86034393310547,2023-01-31,49848
4175,R334,BX,"2,5",40.893192291259766,-73.85747528076172,2022-02-28,61699
4176,R334,BX,"2,5",40.893192291259766,-73.85747528076172,2022-03-31,79642
4177,R334,BX,"2,5",40.893192291259766,-73.85747528076172,2022-04-30,72167
4178,R334,BX,"2,5",40.893192291259766,-73.85747528076172,2022-05-31,73645
4179,R334,BX,"2,5",40.893192291259766,-73.85747528076172,2022-06-30,71659
4180,R334,BX,"2,5",40.893192291259766,-73.85747528076172,2022-07-31,65587
4181,R334,BX,"2,5",40.893192291259766,-73.85747528076172,2022-08-31,68576
4182,R334,BX,"2,5",40.893192291259766,-73.85747528076172,2022-09-30,71851
4183,R334,BX,"2,5",40.893192291259766,-73.85747528076172,2022-10-31,74075
4184,R334,BX,"2,5",40.893192291259766,-73.85747528076172,2022-11-30,71739
4185,R334,BX,"2,5",40.893192291259766,-73.85747528076172,2022-12-31,68823
4186,R334,BX,"2,5",40.893192291259766,-73.85747528076172,2023-01-31,70781
4187,R335,BX,"2,5",40.898380279541016,-73.85437774658203,2022-02-28,43721
